Student ID,Name,Gender,Age,Department,Semester,Attendance (%),Internal Marks,Midterm Marks,Final Exam Marks,Total Marks,GPA,Result,Backlogs,Scholarship,Hostel Resident,Extra Curricular Score,Parental Income (USD),Internet Access,Study Hours per Day
STD00001,Student_1,Male,23,Textile,7,74.25,21,20,65,106,3.3,Fail,1,No,No,61.27,5066.5,Yes,4.9
STD00002,Student_2,Female,24,EEE,2,85.52,11,26,52,89,2.5,Fail,1,Yes,No,49.86,5868.53,Yes,1.95
STD00003,Student_3,Male,20,ME,6,72.67,29,30,60,119,3.3,Fail,2,No,Yes,62.12,2825.02,Yes,5.67
STD00004,Student_4,Male,18,CE,7,88.64,23,35,63,121,3.7,Pass,0,Yes,No,58.86,5870.3,No,3.95
STD00005,Student_5,Male,21,CE,7,63.73,12,38,67,117,3.3,Fail,1,No,No,30.8,5363.38,Yes,0.87
STD00006,Student_6,Female,24,BBA,7,100.0,25,47,69,141,4.0,Fail,2,No,No,32.35,4763.41,Yes,3.74
STD00007,Student_7,Male,22,Textile,2,71.28,17,43,64,124,3.7,Fail,1,No,No,38.31,5777.84,Yes,2.62
STD00008,Student_8,Male,19,CSE,3,78.48,21,32,46,99,3.0,Pass,0,Yes,No,43.38,6881.62,Yes,3.06
STD00009,Student_9,Male,19,BBA,3,79.22,18,47,50,115,3.3,Fail,2,No,Yes,48.25,5680.29,Yes,0.58
STD00010,Student_10,Female,19,CSE,1,99.64,10,20,32,62,2.0,Fail,1,No,No,45.95,3883.47,Yes,2.12
STD00011,Student_11,Male,23,Textile,1,84.93,10,31,67,108,3.3,Fail,2,No,No,58.32,2834.07,No,3.48
STD00012,Student_12,Male,22,BBA,2,74.34,18,20,64,102,3.0,Fail,1,Yes,Yes,54.62,7287.07,Yes,3.35
STD00013,Student_13,Male,17,BBA,3,84.28,24,48,63,135,4.0,Fail,2,No,No,62.69,5437.58,Yes,0.82
STD00014,Student_14,Male,22,CE,6,85.45,19,33,43,95,3.0,Fail,2,No,Yes,49.72,6131.83,Yes,3.72
STD00015,Student_15,Female,17,CSE,1,88.87,26,32,45,103,3.0,Fail,2,Yes,Yes,50.56,5199.16,Yes,6.04
STD00016,Student_16,Male,19,EEE,1,74.05,11,35,33,79,2.5,Pass,0,No,Yes,68.12,6191.48,Yes,3.87
STD00017,Student_17,Female,20,EEE,3,93.85,12,48,38,98,3.0,Pass,0,No,No,83.17,5515.46,No,2.07
STD00018,Student_18,Female,20,BBA,6,86.3,19,44,67,130,3.7,Pass,0,Yes,Yes,55.01,6927.44,Yes,5.02
STD00019,Student_19,Female,24,Textile,1,99.67,28,24,44,96,3.0,Fail,2,Yes,No,44.1,1737.62,Yes,0.5
STD00020,Student_20,Male,17,BBA,4,83.27,18,46,30,94,3.0,Pass,0,Yes,No,91.61,6092.29,Yes,1.57
STD00021,Student_21,Female,19,CE,7,84.25,27,23,39,89,2.5,Fail,2,No,Yes,50.14,1994.45,Yes,2.16
STD00022,Student_22,Male,22,CSE,6,83.34,12,23,40,75,2.5,Pass,0,No,No,65.08,6260.15,Yes,5.03
STD00023,Student_23,Female,20,BBA,4,97.52,18,27,60,105,3.3,Fail,2,Yes,Yes,71.84,4446.32,Yes,3.23
STD00024,Student_24,Female,17,Textile,3,91.85,20,44,65,129,3.7,Fail,1,No,No,45.83,4048.66,Yes,1.17
STD00025,Student_25,Female,24,EEE,3,77.69,18,34,63,115,3.3,Pass,0,No,Yes,19.14,4889.56,Yes,1.94
STD00026,Student_26,Female,22,CSE,1,100.0,14,49,67,130,3.7,Fail,1,Yes,No,55.67,6791.62,Yes,3.85
STD00027,Student_27,Female,19,BBA,2,78.59,29,35,46,110,3.3,Pass,0,No,No,55.93,4565.82,Yes,4.79
STD00028,Student_28,Female,18,CSE,5,79.75,27,26,33,86,2.5,Fail,1,No,Yes,44.8,4047.5,Yes,5.88
STD00029,Student_29,Female,19,CE,8,94.64,21,27,66,114,3.3,Pass,0,No,No,44.59,8904.2,Yes,4.91
STD00030,Student_30,Female,23,EEE,4,83.39,26,37,47,110,3.3,Fail,1,Yes,No,51.93,1921.73,No,3.54
STD00031,Student_31,Male,19,Textile,4,74.22,26,35,68,129,3.7,Pass,0,No,No,36.19,4791.28,Yes,4.68
STD00032,Student_32,Male,24,CSE,8,97.32,25,34,65,124,3.7,Fail,2,Yes,Yes,61.07,5163.88,Yes,3.67
STD00033,Student_33,Female,22,EEE,8,100.0,23,45,69,137,4.0,Pass,0,No,No,68.28,4779.02,Yes,2.71
STD00034,Student_34,Female,24,BBA,6,74.75,18,42,36,96,3.0,Pass,0,No,Yes,59.7,4388.01,Yes,2.46
STD00035,Student_35,Female,22,Textile,6,97.24,22,39,41,102,3.0,Fail,2,No,No,17.0,2093.67,No,3.12
STD00036,Student_36,Male,21,Textile,3,80.06,12,43,48,103,3.0,Fail,1,No,No,35.44,6411.54,No,1.64
STD00037,Student_37,Female,21,ME,7,64.18,14,45,66,125,3.7,Pass,0,No,No,58.8,5070.32,Yes,4.69
STD00038,Student_38,Male,22,CSE,2,91.52,17,43,37,97,3.0,Pass,0,No,Yes,71.84,1600.06,Yes,3.56
STD00039,Student_39,Male,22,EEE,3,66.29,12,35,39,86,2.5,Fail,2,No,No,54.12,1000.0,Yes,2.11
STD00040,Student_40,Male,18,CSE,1,77.7,25,35,65,125,3.7,Fail,1,No,No,87.51,4405.34,Yes,1.54
STD00041,Student_41,Male,18,BBA,2,82.25,13,45,36,94,3.0,Fail,2,No,Yes,69.68,3132.88,Yes,4.43
STD00042,Student_42,Male,19,BBA,1,84.67,18,21,57,96,3.0,Fail,1,No,Yes,64.63,2152.61,Yes,3.3
STD00043,Student_43,Female,24,Textile,4,95.93,16,44,47,107,3.3,Fail,1,No,Yes,64.39,5363.11,Yes,2.3
STD00044,Student_44,Female,23,Textile,8,78.87,27,25,66,118,3.3,Fail,1,No,No,61.39,5623.95,Yes,3.39
STD00045,Student_45,Female,24,EEE,3,98.96,26,30,30,86,2.5,Pass,0,Yes,No,56.59,3995.67,No,3.01
STD00046,Student_46,Female,20,CE,6,84.08,15,24,58,97,3.0,Pass,0,No,No,61.82,4758.16,Yes,2.07
STD00047,Student_47,Female,24,CSE,8,74.14,19,34,51,104,3.0,Pass,0,No,Yes,91.1,4445.22,Yes,5.93
STD00048,Student_48,Male,23,CSE,3,90.94,14,33,51,98,3.0,Fail,2,No,No,70.88,4756.51,Yes,1.82
STD00049,Student_49,Female,18,BBA,5,100.0,24,35,53,112,3.3,Pass,0,No,Yes,34.22,6906.33,No,1.76
STD00050,Student_50,Female,19,CSE,2,80.39,11,35,54,100,3.0,Fail,2,No,No,56.23,4158.45,Yes,0.76
STD00051,Student_51,Male,23,EEE,7,74.56,24,28,49,101,3.0,Fail,1,Yes,No,35.99,4726.5,Yes,1.85
STD00052,Student_52,Female,24,ME,4,79.23,18,38,59,115,3.3,Fail,2,No,No,47.1,4400.1,Yes,2.36
